version	num stations	likelihood lon	likelihood lat	likelihood mag	prior lon	prior lat	posterior lon	posterior lat	posterior mag
22.0	13.0	-121.357390083	36.7460120715	4.27563354681	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27563354681
23.0	13.0	-121.357390083	36.7460120715	4.28060804527	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28060804527
24.0	13.0	-121.357390083	36.7460120715	4.2311421102	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.2311421102
25.0	13.0	-121.357390083	36.7460120715	4.28515676948	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28515676948
26.0	13.0	-121.357390083	36.7460120715	4.28515676948	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28515676948
27.0	13.0	-121.357390083	36.7460120715	4.28764444448	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28764444448
28.0	13.0	-121.357390083	36.7460120715	4.29936195162	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.29936195162
29.0	13.0	-121.357390083	36.7460120715	4.29936195162	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.29936195162
30.0	13.0	-121.357390083	36.7460120715	4.29936195162	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.29936195162
31.0	13.0	-121.357390083	36.7460120715	4.28478154632	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28478154632
32.0	13.0	-121.357390083	36.7460120715	4.28478154632	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28478154632
33.0	13.0	-121.357390083	36.7460120715	4.28478154632	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28478154632
34.0	13.0	-121.357390083	36.7460120715	4.28478154632	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.28478154632
35.0	13.0	-121.357390083	36.7460120715	4.32614275632	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32614275632
36.0	13.0	-121.357390083	36.7460120715	4.32614275632	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32614275632
37.0	13.0	-121.357390083	36.7460120715	4.32614275632	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32614275632
38.0	13.0	-121.357390083	36.7460120715	4.31823462274	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31823462274
39.0	13.0	-121.357390083	36.7460120715	4.32753504224	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.32753504224
40.0	13.0	-121.357390083	36.7460120715	4.27202100365	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27202100365
