eventid	version	nT	index	sta	chan	net	loc	lat	lon	U	dist	tt	tterr
900	21	15	13	COA	HNZ	CI	--	32.8634	-115.1234	1	54.5	9.2	0.0836
900	21	15	14	SNR	HNZ	CI	--	32.8619	-115.436	1	56.2	9.65	-0.0853
900	21	15	15	SNR	HHZ	CI	--	32.8619	-115.436	1	56.2	9.61	-0.0453
900	21	16	1	CPX	HHZ	BC	--	32.4195	-115.305	1	7.2	1.47	0.4172
900	21	16	2	CPX	HNZ	BC	--	32.4195	-115.305	1	7.2	1.52	0.3672
900	21	16	3	GUVIX	HNZ	BC	--	32.3029	-115.076	1	17.9	3.52	-0.1055
900	21	16	4	GUVIX	HHZ	BC	--	32.3029	-115.076	1	17.9	3.52	-0.1055
900	21	16	5	5054	HNZ	NP	10	32.6932	-115.3382	1	35.6	6.44	-0.1914
900	21	16	6	5053	HNZ	NP	10	32.6695	-115.4925	1	39.6	7.06	-0.1709
900	21	16	7	WES	HNZ	CI	--	32.759	-115.7316	1	62.1	10.36	0.135
900	21	16	8	EMS	HNZ	CI	--	32.7392	-114.9852	1	46.3	7.93	0.0323
900	21	16	9	COA	HHZ	CI	--	32.8634	-115.1234	1	54.5	9.13	0.1446
900	21	16	10	DRE	HHZ	CI	--	32.8053	-115.4468	1	50.7	8.98	-0.3108
900	21	16	11	DRE	HNZ	CI	--	32.8053	-115.4468	1	50.7	8.99	-0.3208
900	21	16	12	5058	HNZ	NP	10	32.7517	-115.5952	1	52.7	9.12	-0.1225
900	21	16	13	COA	HNZ	CI	--	32.8634	-115.1234	1	54.5	9.2	0.0746
900	21	16	14	SNR	HNZ	CI	--	32.8619	-115.436	1	56.2	9.65	-0.0943
900	21	16	15	SNR	HHZ	CI	--	32.8619	-115.436	1	56.2	9.61	-0.0543
900	21	16	16	WES	HHZ	CI	--	32.759	-115.7316	1	62.1	10.19	0.305
